threshold,baseline_type,projection,mean_mechanism,mean_null,z_score,sign_consistency,effect_size_d,verdict,verdict_material
25000,parent_support,LeadingDigit,0.18309083132095968,0.0597856647395472,2074.631310063951,1.0,656.0560244901089,+,+
25000,parent_support,TerminalDigit,9.93516,7.597289999999999,1.9377168452321054,0.65,0.6127598691409437,?,?
25000,parent_support,CentsEntropy,6.643141809662611,6.643174548909336,-1.065222907659733,0.6,-0.33685306039919777,0,0
25000,parent_support,DecimalResidue,0.003902500000000001,0.0034644999999999997,1.5607308125005777,0.7,0.493546418190702,?,?
25000,parent_support,VocabGini,0.2617314565086981,0.04583308428285952,949.2213604367355,1.0,300.1701502663726,+,+
25000,parent_support,ThresholdDensity,2.3298246220691126,0.9989519868350376,38.88601177604193,1.0,12.296836633242192,+,+
25000,parent_support,TemporalConcentration,nan,nan,nan,nan,nan,?,?
25000,parent_support,cp_spectrum,0.10838917117989126,0.08612348301214864,176.0697138144526,1.0,55.67813226276833,+,+
25000,parent_support,L_profile,0.017072599281074345,0.02420213476847947,-149.88192125751328,1.0,-47.396825125575035,+,+
25000,parent_support,TailMass,0.09970138218923683,0.11537427140364354,-148.0085416045051,1.0,-46.80441046300286,+,+
25000,parent_support,CBAD_a,0.3158795091426406,8.739638665668571e-07,137.14233443803485,1.0,43.36821404567382,+,+
25000,parent_support,CBAD_c,0.18315453961785394,0.013158087305027327,25.935037998661755,1.0,8.20137912787861,+,+
25000,parent_support,CBAD_R2,0.9939296392131644,0.900509368673854,20.457614249352606,1.0,6.469265652107006,+,+
25000,threshold_aware,LeadingDigit,0.18309083132095968,0.18309083132095968,0.0,nan,0.0,0,0
25000,threshold_aware,TerminalDigit,9.93516,7.752339999999999,1.5436031195930187,0.7,0.48813016612552224,?,?
25000,threshold_aware,CentsEntropy,6.643141809662611,6.643129253933381,0.37523748398406165,0.6,0.1186605112860588,0,0
25000,threshold_aware,DecimalResidue,0.0027634999999999973,0.002324499999999998,1.693195830433632,0.7,0.5354355348870522,?,?
25000,threshold_aware,VocabGini,0.2617314565086981,0.26185307746358716,-0.5171275795657273,0.5,-0.16353009923176454,0,0
25000,threshold_aware,ThresholdDensity,2.3298246220691126,2.3284804813704274,0.27111671261440945,0.55,0.08573463235988377,0,0
25000,threshold_aware,TemporalConcentration,nan,nan,nan,nan,nan,?,?
25000,threshold_aware,cp_spectrum,0.013274705164702125,0.013150129570500041,2.0427046349821336,0.6,0.6459599233526405,?,?
25000,threshold_aware,L_profile,0.08149797387368565,0.08156992150853717,-0.9902456275818732,0.6,-0.31314316261815744,0,0
25000,threshold_aware,TailMass,0.09970138218923683,0.09976357156082172,-0.5438832167757479,0.55,-0.17199097461504634,0,0
25000,threshold_aware,CBAD_a,0.3158795091426406,0.3231777969033884,-2.175605205292749,0.75,-0.68798677380433,?,?
25000,threshold_aware,CBAD_c,0.18315453961785394,0.20774109810647462,-2.4926936075488704,0.75,-0.7882589308796318,?,?
25000,threshold_aware,CBAD_R2,0.9939296392131644,0.9931935204871254,0.830666534165576,0.5,0.26267982240412946,0,0
37500,magnitude_matched,LeadingDigit,0.1729225000852542,0.1729225000852542,0.0,nan,0.0,0,0
37500,magnitude_matched,TerminalDigit,9.55974,8.464369999999999,0.8417988585235553,0.6,0.2662001724664281,0,0
37500,magnitude_matched,CentsEntropy,6.643069418537564,6.643114200229929,-1.4350456481907883,0.65,-0.45380127945955817,0,0
37500,magnitude_matched,DecimalResidue,0.013220500000000001,0.012642,2.2280719181834847,0.65,0.7045782052120142,?,?
37500,magnitude_matched,VocabGini,0.2763500159830573,0.15380521471055428,380.44105807912126,1.0,120.30602589744261,+,+
37500,magnitude_matched,ThresholdDensity,2.330793057881685,0.9997044718285624,350.4697478800313,1.0,110.82826542858672,+,+
37500,magnitude_matched,TemporalConcentration,nan,nan,nan,nan,nan,?,?
37500,magnitude_matched,cp_spectrum,0.10439779998146645,0.10398409123251584,3.066141643487144,0.75,0.9695991222111354,?,?
37500,magnitude_matched,L_profile,0.018269947020882846,0.01836061149070958,-2.250518453009719,0.75,-0.7116764227749335,?,?
37500,magnitude_matched,TailMass,0.10244573973208071,0.1025770849759895,-1.2146916734238162,0.65,-0.38411923428606787,0,0
37500,magnitude_matched,CBAD_a,0.33948037185548285,0.3469977488594592,-2.4893191410594966,0.7,-0.7871918308801986,?,?
37500,magnitude_matched,CBAD_c,0.19374559564663923,0.20352323987062476,-0.8814957831139959,0.65,-0.278753442247402,0,0
37500,magnitude_matched,CBAD_R2,0.9932536670353921,0.992650023378381,0.6234347650248705,0.55,0.1971473830010471,0,0
37500,parent_support,LeadingDigit,0.1729225000852542,0.0597856647395472,1903.547332501928,1.0,601.9545204643957,+,+
37500,parent_support,TerminalDigit,9.55974,7.597289999999999,1.6436955290913895,0.6,0.5197821651764346,?,?
37500,parent_support,CentsEntropy,6.643069418537564,6.643174548909336,-3.2263617522495807,0.65,-1.0202651692760558,?,?
37500,parent_support,DecimalResidue,0.013220500000000001,0.012327000000000001,2.8935428833034145,0.7,0.9150186018609587,?,?
37500,parent_support,VocabGini,0.2763500159830573,0.04583308428285952,941.4321537351882,1.0,297.7069868320989,+,+
37500,parent_support,ThresholdDensity,2.330793057881685,1.0496749999161348,42.39454930931788,1.0,13.406333619376273,+,+
37500,parent_support,TemporalConcentration,nan,nan,nan,nan,nan,?,?
37500,parent_support,cp_spectrum,0.10439779998146645,0.08612348301214864,150.50185216909762,1.0,47.59286449283014,+,+
37500,parent_support,L_profile,0.018269947020882846,0.02420213476847947,-135.14098846024112,1.0,-42.73533287808932,+,+
37500,parent_support,TailMass,0.10244573973208071,0.11537427140364354,-127.69168836230003,1.0,-40.379657349728404,+,+
37500,parent_support,CBAD_a,0.33948037185548285,8.739638665668571e-07,145.81803049164193,1.0,46.111710027347094,+,+
37500,parent_support,CBAD_c,0.19374559564663923,0.013158087305027327,22.66350224281047,1.0,7.166828684361551,+,+
37500,parent_support,CBAD_R2,0.9932536670353921,0.900509368673854,20.340065567387704,1.0,6.432093495011021,+,+
37500,threshold_aware,LeadingDigit,0.1729225000852542,0.1729225000852542,0.0,0.3,0.0,0,0
37500,threshold_aware,TerminalDigit,9.55974,9.70028,-0.10877561250559166,0.55,-0.03439786893975646,0,0
37500,threshold_aware,CentsEntropy,6.643069418537564,6.643123923075571,-1.6393448068302643,0.6,-0.5184063459952392,?,?
37500,threshold_aware,DecimalResidue,0.006321499999999999,0.0056355,2.5885119244998123,0.7,0.8185593431925215,?,?
37500,threshold_aware,VocabGini,0.2763500159830573,0.2764405744650774,-0.37377229920433974,0.65,-0.11819717917636548,0,0
37500,threshold_aware,ThresholdDensity,2.330793057881685,2.3301916477411586,0.12254054684595404,0.5,0.03875072337557772,0,0
37500,threshold_aware,TemporalConcentration,nan,nan,nan,nan,nan,?,?
37500,threshold_aware,cp_spectrum,0.10439779998146645,0.10415892592262817,1.7247656619922993,0.7,0.5454187921943774,?,?
37500,threshold_aware,L_profile,0.018269947020882846,0.01822467230774573,1.1811007535448712,0.65,0.37349685273429845,0,0
37500,threshold_aware,TailMass,0.10244573973208071,0.10246531382218282,-0.1778809686793193,0.55,-0.056250901342372255,0,0
37500,threshold_aware,CBAD_a,0.33948037185548285,0.3421115413471535,-0.7251060193677974,0.55,-0.22929865663004056,0,0
37500,threshold_aware,CBAD_c,0.19374559564663923,0.2014435952587706,-0.6767523688471695,0.55,-0.21400788974714352,0,0
37500,threshold_aware,CBAD_R2,0.9932536670353921,0.993102645017178,0.16411880863530556,0.45,0.05189892421608761,0,0
