mechanism,projection,digit_stratum,z_score,verdict
divisibility,TemporalConcentration,4,nan,?
divisibility,cp_spectrum,4,84.28086851410959,+
divisibility,L_profile,4,67.28769925351249,+
divisibility,TailMass,4,73.08775716501587,+
divisibility,LeadingDigit,5,1.2294288359934238,0
divisibility,TerminalDigit,5,0.21503881783274015,0
divisibility,CentsEntropy,5,-1.6169427996605028,?
divisibility,DecimalResidue,5,2.6454192292181817,?
divisibility,VocabGini,5,130.34324439032596,+
divisibility,ThresholdDensity,5,nan,?
divisibility,TemporalConcentration,5,nan,?
divisibility,cp_spectrum,5,364.7111955652922,+
divisibility,L_profile,5,117.49453976977271,+
divisibility,TailMass,5,102.29136568967593,+
divisibility,LeadingDigit,6,0.17710098861274076,0
divisibility,TerminalDigit,6,-0.9381709047628741,0
divisibility,CentsEntropy,6,-0.954061653246629,0
divisibility,DecimalResidue,6,-1.2200424498478153,0
divisibility,VocabGini,6,328.46172923493543,+
divisibility,ThresholdDensity,6,nan,?
divisibility,TemporalConcentration,6,nan,?
divisibility,cp_spectrum,6,1063.7692455194406,+
divisibility,L_profile,6,367.41253787812667,+
divisibility,TailMass,6,370.9407420985854,+
product,LeadingDigit,3,4.101173259709644,+
product,TerminalDigit,3,9.48675856567506,+
product,CentsEntropy,3,-11.405376175566246,+
product,DecimalResidue,3,15.649679926799651,+
product,VocabGini,3,18.289057052254897,+
product,ThresholdDensity,3,nan,?
product,TemporalConcentration,3,nan,?
product,cp_spectrum,3,24.50962116849655,+
product,L_profile,3,-28.344477145444685,+
product,TailMass,3,25.812217204401115,+
product,LeadingDigit,4,-5.099525856644898,+
product,TerminalDigit,4,54.73926181151836,+
product,CentsEntropy,4,-57.75883474881802,+
product,DecimalResidue,4,84.12683283815679,+
product,VocabGini,4,68.60980402455881,+
product,ThresholdDensity,4,nan,?
product,TemporalConcentration,4,nan,?
product,cp_spectrum,4,90.74852345545116,+
product,L_profile,4,-126.11797968514402,+
product,TailMass,4,132.40851500287044,+
product,LeadingDigit,5,-53.3522261208618,+
product,TerminalDigit,5,117.7354309314442,+
product,CentsEntropy,5,-628.7090159533841,+
product,DecimalResidue,5,217.58443493550394,+
product,VocabGini,5,164.46801482972344,+
product,ThresholdDensity,5,nan,?
product,TemporalConcentration,5,nan,?
product,cp_spectrum,5,354.8683734231015,+
product,L_profile,5,-413.79946364992367,+
product,TailMass,5,352.2758531896383,+
product,LeadingDigit,6,-110.38722387007736,+
product,TerminalDigit,6,188.42761696796907,+
product,CentsEntropy,6,-304.9377825286035,+
product,DecimalResidue,6,357.8369953321873,+
product,VocabGini,6,351.0915110056987,+
product,ThresholdDensity,6,nan,?
product,TemporalConcentration,6,nan,?
product,cp_spectrum,6,308.65105536417116,+
product,L_profile,6,-573.3049671399738,+
product,TailMass,6,496.2701991417945,+
fixed_factor,LeadingDigit,7,234.67514772165194,+
fixed_factor,TerminalDigit,7,2316.823934635354,+
fixed_factor,CentsEntropy,7,-10691.55005705057,+
fixed_factor,DecimalResidue,7,1486.6631485949408,+
fixed_factor,VocabGini,7,572.3825452397297,+
fixed_factor,ThresholdDensity,7,nan,?
fixed_factor,TemporalConcentration,7,nan,?
fixed_factor,cp_spectrum,7,-629.7140049147112,+
fixed_factor,L_profile,7,953.6881029908267,+
fixed_factor,TailMass,7,-448.69087230904637,+
fixed_factor,LeadingDigit,8,0.0,0
fixed_factor,TerminalDigit,8,1389.085606546354,+
fixed_factor,CentsEntropy,8,-8918.653005665876,+
fixed_factor,DecimalResidue,8,1922.933620660082,+
fixed_factor,VocabGini,8,339.0521927703609,+
fixed_factor,ThresholdDensity,8,nan,?
fixed_factor,TemporalConcentration,8,nan,?
fixed_factor,cp_spectrum,8,-418.30613117220753,+
fixed_factor,L_profile,8,718.895183477114,+
fixed_factor,TailMass,8,-414.85888487627,+
temporal_concat,LeadingDigit,4,1.0002241681088697,0
temporal_concat,TerminalDigit,4,1.0015510256384832,0
temporal_concat,CentsEntropy,4,-1.0262058383722934,0
temporal_concat,DecimalResidue,4,1.1263222706092333,0
temporal_concat,VocabGini,4,0.8785718733575745,0
temporal_concat,ThresholdDensity,4,nan,?
temporal_concat,TemporalConcentration,4,nan,?
temporal_concat,cp_spectrum,4,-1.2742342876912363,0
temporal_concat,L_profile,4,-1.327407537430437,0
temporal_concat,TailMass,4,-1.0791118340550951,0
temporal_concat,LeadingDigit,5,5.723423232882076,+
temporal_concat,TerminalDigit,5,3.914360805753164,+
temporal_concat,CentsEntropy,5,-12.072247691603154,+
temporal_concat,DecimalResidue,5,12.433662394367396,+
temporal_concat,VocabGini,5,9.799991789875644,+
temporal_concat,ThresholdDensity,5,nan,?
temporal_concat,TemporalConcentration,5,nan,?
temporal_concat,cp_spectrum,5,2.3658729752673433,?
temporal_concat,L_profile,5,0.884975259740158,0
temporal_concat,TailMass,5,0.5317534258251729,0
temporal_concat,LeadingDigit,6,-0.28507686365233526,0
temporal_concat,TerminalDigit,6,5.864427873394631,+
temporal_concat,CentsEntropy,6,-17.651986324999633,+
temporal_concat,DecimalResidue,6,36.40818186223354,+
temporal_concat,VocabGini,6,36.95995173227125,+
temporal_concat,ThresholdDensity,6,nan,?
temporal_concat,TemporalConcentration,6,nan,?
temporal_concat,cp_spectrum,6,-1.6684245283308858,?
temporal_concat,L_profile,6,-1.9737081093400715,?
temporal_concat,TailMass,6,-1.1214534476364315,0
temporal_concat_arith,LeadingDigit,4,-0.735446026010643,0
temporal_concat_arith,TerminalDigit,4,0.3907678823562008,0
temporal_concat_arith,CentsEntropy,4,1.1632362785374286,0
temporal_concat_arith,DecimalResidue,4,-1.204430682451759,0
temporal_concat_arith,VocabGini,4,11.316493601506492,+
temporal_concat_arith,ThresholdDensity,4,nan,?
temporal_concat_arith,TemporalConcentration,4,nan,?
temporal_concat_arith,cp_spectrum,4,70.01154566919395,+
temporal_concat_arith,L_profile,4,27.19102866506547,+
